crop,Test Accuracy,model,Condition
Apple,0.905373831775701,res152,mixed
Potato,0.8893058161350844,res152,mixed
Tomato,0.9487095720352826,res152,mixed
Apple,0.9112149532710281,vgg19,mixed
Potato,0.8855534709193246,vgg19,mixed
Tomato,0.9434825220516171,vgg19,mixed
Apple,0.9147196261682243,res101,mixed
Potato,0.8930581613508443,res101,mixed
Tomato,0.9487095720352826,res101,mixed
Apple,0.9088785046728972,dense121,mixed
Potato,0.8949343339587242,dense121,mixed
Tomato,0.9451159751715126,dense121,mixed
Apple,0.9112149532710281,res18,mixed
Potato,0.8780487804878049,res18,mixed
Tomato,0.939235543939889,res18,mixed
Apple,0.9112149532710281,effb0,mixed
Potato,0.8893058161350844,effb0,mixed
Tomato,0.9362953283240771,effb0,mixed
Apple,0.9077102803738317,res34,mixed
Potato,0.8893058161350844,res34,mixed
Tomato,0.9425024501796798,res34,mixed
Apple,0.9065420560747663,mobile3l,mixed
Potato,0.8911819887429644,mobile3l,mixed
Tomato,0.9382554720679517,mobile3l,mixed
Apple,0.9158878504672897,dense169,mixed
Potato,0.8855534709193246,dense169,mixed
Tomato,0.9441359032995753,dense169,mixed
Apple,0.9252336448598131,res50,mixed
Potato,0.8874296435272045,res50,mixed
Tomato,0.9441359032995753,res50,mixed
Apple,0.8995327102803738,mobile3s,mixed
Potato,0.8818011257035647,mobile3s,mixed
Tomato,0.9300882064684743,mobile3s,mixed
Apple,0.9182242990654206,effb1,mixed
Potato,0.8911819887429644,effb1,mixed
Tomato,0.939562234563868,effb1,mixed
Apple,0.927570093457944,dense161,mixed
Potato,0.8986866791744841,dense161,mixed
Tomato,0.9460960470434499,dense161,mixed
Apple,0.9252336448598131,vgg13,mixed
Potato,0.874296435272045,vgg13,mixed
Tomato,0.9447892845475335,vgg13,mixed
Apple,0.9287383177570093,dense201,mixed
Potato,0.8949343339587242,dense201,mixed
Tomato,0.9500163345311989,dense201,mixed
Apple,0.9158878504672897,vgg11,mixed
Potato,0.8780487804878049,vgg11,mixed
Tomato,0.9405423064358053,vgg11,mixed
Apple,0.9205607476635514,vgg16,mixed
Potato,0.8799249530956847,vgg16,mixed
Tomato,0.9447892845475335,vgg16,mixed
Apple,0.9683377308707124,res152,lab
Potato,0.99,res152,lab
Tomato,0.9955572010366531,res152,lab
Apple,0.9683377308707124,vgg19,lab
Potato,0.99,vgg19,lab
Tomato,0.9959274342835986,vgg19,lab
Apple,0.978891820580475,res101,lab
Potato,0.9925,res101,lab
Tomato,0.9981488337652721,res101,lab
Apple,0.9762532981530343,dense121,lab
Potato,0.99,dense121,lab
Tomato,0.9955572010366531,dense121,lab
Apple,0.9656992084432717,res18,lab
Potato,0.995,res18,lab
Tomato,0.9937060348019252,res18,lab
Apple,0.9762532981530343,effb0,lab
Potato,0.9925,effb0,lab
Tomato,0.9914846353202518,effb0,lab
Apple,0.9736147757255936,res34,lab
Potato,0.99,res34,lab
Tomato,0.9955572010366531,res34,lab
Apple,0.9683377308707124,mobile3l,lab
Potato,0.9825,mobile3l,lab
Tomato,0.990373935579415,mobile3l,lab
Apple,0.9736147757255936,dense169,lab
Potato,0.995,dense169,lab
Tomato,0.9970381340244354,dense169,lab
Apple,0.9709762532981531,res50,lab
Potato,0.9875,res50,lab
Tomato,0.9914846353202518,res50,lab
Apple,0.9630606860158312,mobile3s,lab
Potato,0.99,mobile3s,lab
Tomato,0.9925953350610884,mobile3s,lab
Apple,0.9736147757255936,effb1,lab
Potato,0.99,effb1,lab
Tomato,0.990373935579415,effb1,lab
Apple,0.9736147757255936,dense161,lab
Potato,0.99,dense161,lab
Tomato,0.9981488337652721,dense161,lab
Apple,0.9683377308707124,vgg13,lab
Potato,0.995,vgg13,lab
Tomato,0.9944465012958164,vgg13,lab
Apple,0.9762532981530343,dense201,lab
Potato,0.9925,dense201,lab
Tomato,0.9966679007774898,dense201,lab
Apple,0.9683377308707124,vgg11,lab
Potato,0.99,vgg11,lab
Tomato,0.9974083672713809,vgg11,lab
Apple,0.978891820580475,vgg16,lab
Potato,0.99,vgg16,lab
Tomato,0.9940762680488708,vgg16,lab
Apple,0.870020964360587,res152,field
Potato,0.6015037593984962,res152,field
Tomato,0.5944444444444444,res152,field
Apple,0.859538784067086,vgg19,field
Potato,0.5714285714285714,vgg19,field
Tomato,0.5527777777777778,vgg19,field
Apple,0.870020964360587,res101,field
Potato,0.5714285714285714,res101,field
Tomato,0.5833333333333334,res101,field
Apple,0.8553459119496856,dense121,field
Potato,0.6466165413533834,dense121,field
Tomato,0.5638888888888889,dense121,field
Apple,0.8763102725366876,res18,field
Potato,0.6390977443609023,res18,field
Tomato,0.5611111111111111,res18,field
Apple,0.8742138364779874,effb0,field
Potato,0.631578947368421,effb0,field
Tomato,0.5777777777777777,effb0,field
Apple,0.870020964360587,res34,field
Potato,0.5789473684210527,res34,field
Tomato,0.5611111111111111,res34,field
Apple,0.8616352201257862,mobile3l,field
Potato,0.5864661654135338,mobile3l,field
Tomato,0.5694444444444444,mobile3l,field
Apple,0.8763102725366876,dense169,field
Potato,0.5714285714285714,dense169,field
Tomato,0.5861111111111111,dense169,field
Apple,0.8784067085953878,res50,field
Potato,0.5714285714285714,res50,field
Tomato,0.5916666666666667,res50,field
Apple,0.8364779874213837,mobile3s,field
Potato,0.5864661654135338,mobile3s,field
Tomato,0.5083333333333333,mobile3s,field
Apple,0.8763102725366876,effb1,field
Potato,0.6090225563909775,effb1,field
Tomato,0.6166666666666667,effb1,field
Apple,0.8888888888888888,dense161,field
Potato,0.5864661654135338,dense161,field
Tomato,0.5861111111111111,dense161,field
Apple,0.859538784067086,vgg13,field
Potato,0.5939849624060151,vgg13,field
Tomato,0.5833333333333334,vgg13,field
Apple,0.8805031446540881,dense201,field
Potato,0.5939849624060151,dense201,field
Tomato,0.5916666666666667,dense201,field
Apple,0.870020964360587,vgg11,field
Potato,0.5789473684210527,vgg11,field
Tomato,0.5583333333333333,vgg11,field
Apple,0.8805031446540881,vgg16,field
Potato,0.5714285714285714,vgg16,field
Tomato,0.5805555555555556,vgg16,field
